,Name,Mass,PTMCnt,PTMCntRatio,MassDifferent,PeptideLength,AvgIntensityLog,expect,fval,EucliIntraProtein,ManhattanIntraProtein,PearsonIntraProtein,CosineIntraProtein,EucliIntraProteinPair,ManhattanIntraProteinPair,CosineIntraProteinPair,Charge2,Charge3,Charge4,Charge5,y
8635,A14-07151_Ratio.17302.17302.2,1530.9077,1,0.1,0.005,10,11.5397802,0.0032,8.4893,0.247935009,0.492795589,0.6637095,0.003847435,0.314075807,0.580981571,0.00666871,1,0,0,0,0
12192,A14-07151_Ratio.23584.23584.2,1543.7765,0,0.0,0.004,10,10.64626012,0.017,6.8553,0.108884626,0.200539391,-0.059570461,0.001138116,0.207676661,0.360507915,0.003710485,1,0,0,0,0
8271,A14-07151_Ratio.29273.29273.2,1671.9173,1,0.1,0.005,10,10.99491859,0.004,8.7257,0.294945503,0.42194962,-0.689117866,0.01014746,0.379219636,0.601884377,0.014011455,1,0,0,0,0
9142,A14-07151_Ratio.05940.05940.2,1123.540012,1,0.142857143,0.001784,7,11.6211935,0.0243,3.316,0.204980704,0.396428195,0.732384553,0.003321558,0.314947107,0.57596315,0.009744133,1,0,0,0,0
5074,A14-07151_Ratio.13199.13199.2,1481.716892,1,0.1,0.003325,10,10.94451465,0.000238,4.6984,0.369296922,0.585436457,-0.668680154,0.019083335,0.587964174,0.911221068,0.031554671,1,0,0,0,0
10451,A14-07151_Ratio.21906.21906.2,1608.8871,1,0.090909091,0.01,11,11.49895412,0.014,8.4332,0.20233881,0.389817486,0.866256375,0.001393371,0.329898717,0.588119544,0.007314972,1,0,0,0,0
9405,A14-07151_Ratio.04847.04847.2,1012.551792,0,0.0,0.001344,7,13.26960435,0.0219,3.0435,0.238646726,0.468788558,-0.092331774,0.004874276,0.302477533,0.532414104,0.010820492,1,0,0,0,0
4144,A14-07151_Ratio.32472.32472.2,1357.8181,0,0.0,0.005,10,10.90549507,0.016,6.184,0.314160078,0.521596088,-0.94042396,0.006036467,0.48660223,0.773209205,0.026993813,1,0,0,0,0
8618,A14-07151_Ratio.04629.04629.4,1595.8843,1,0.090909091,0.006,11,12.02940598,0.19,6.3967,0.191423796,0.376623108,0.826059066,0.003503894,0.288601997,0.52738938,0.006528081,0,0,1,0,0
4379,A14-07151_Ratio.22173.22173.2,1647.965305,1,0.1,0.005152,10,12.43847338,0.00332,5.6189,0.431733124,0.783590965,-0.739664004,0.005760988,0.467084436,0.924518363,0.007987609,1,0,0,0,0
6730,A14-07151_Ratio.08260.08260.2,1318.732395,2,0.285714286,0.000328,7,12.30303911,0.0103,3.303,0.291793145,0.606771091,0.893008232,0.00105913,0.370558333,0.777391072,0.001454802,1,0,0,0,0
10234,A14-07151_Ratio.14404.14404.2,1364.772801,1,0.125,0.002239,8,10.48957543,0.00362,4.5572,0.237043994,0.498773359,0.907381299,0.000713565,0.328608147,0.610278971,0.005657184,1,0,0,0,0
2143,A14-07151_Ratio.23857.23857.2,1254.752659,0,0.0,0.002782,9,11.76146866,1.24,0.1615,0.352018418,0.621119227,0.038503664,0.011954365,0.494064999,0.846971606,0.019616061,1,0,0,0,0
2066,A14-07151_Ratio.40444.40444.3,2234.266257,1,0.0625,0.005839,16,9.26416348,0.000931,4.8618,0.352018418,0.621119227,0.038503664,0.011954365,0.494064999,0.846971606,0.019616061,0,1,0,0,0
