,Mass,PTMCnt,PTMCntRatio,MassDifferent,PeptideLength,AvgIntensityLog,expect,fval,EucliIntraProtein,ManhattanIntraProtein,PearsonIntraProtein,CosineIntraProtein,EucliIntraProteinPair,ManhattanIntraProteinPair,CosineIntraProteinPair,Name,Charge2,Charge3,Charge4,Charge5,y
7344,-0.30048125836972334,2.6976134281535966,2.8750729465088884,-0.3896895392598893,-0.3363595560313868,0.2004075520437804,-0.15704197669053452,-0.9497813102759738,-0.8291238618250379,-0.8591313238554786,1.2569644251720735,-0.44090846353184365,-0.675607073648866,-0.7317533278315733,-0.5664363218855363,A14-07151_Ratio.18230.18230.2,1,0,0,0,0
10917,-0.19319714244114797,0.06506699055649245,0.14831782756747275,-0.25912204436549285,-0.3363595560313868,1.2960504796159062,-0.12380888543244763,0.5655942691423652,-0.8281991992885954,-0.8721273206410739,1.240466011381975,-0.4115669428704348,-0.7370521481497716,-0.914601025704617,-0.5289697175576309,A14-07151_Ratio.07610.07610.2,1,0,0,0,0
5374,0.6065205387524446,0.06506699055649245,-0.24121862383863346,-0.6188121129450973,0.5726929488325792,-1.376251460047767,-0.15816350276668129,1.332887153799911,-0.15003237414279727,-0.5318075181620068,-1.485071334620043,-0.09457336147474399,-0.12466005199279773,-0.37645073177576394,-0.0010503517063314895,A14-07151_Ratio.36276.36276.2,1,0,0,0,0
7812,-0.34223229069086547,0.06506699055649245,0.48916221743514965,0.460258092793716,-0.7908858084633698,-0.42018195217241944,-0.0435634080931554,-0.018477249207851085,-0.4158711798410177,-0.46335918363002315,-0.48168960860572374,-0.3659686676138394,-0.13113574247360563,-0.05566690553375807,-0.1297768550660885,A14-07151_Ratio.17264.17264.2,1,0,0,0,0
710,1.1353212219038336,0.06506699055649245,-0.41307293782849114,-0.25912204436549285,1.2544823274805537,-0.5726846943259426,3.6630134023408196,-2.1439342752698822,-0.0019759470061169607,-0.0027937287731455603,-0.005289136476138013,0.0003325013699504451,-0.002079870518242099,-0.0030894378896448413,0.0011252070135694592,A14-07151_Ratio.34631.34631.3,0,1,0,0,1
3348,-1.5096232260795224,-1.2512062282420597,-1.2150597319032352,-1.1576278356773448,-1.0181489346793613,-0.3174328865972227,17.075471757622523,-0.9501900377205856,-0.031973215306074,0.030529297957920684,-1.3831071962598156,-0.0032684282262767077,-0.1126502872482624,-0.10401710860996857,0.10489838568153496,A14-07151_Ratio.03947.03947.2,1,0,0,0,0
518,0.3816222465761288,0.06506699055649245,-0.30614135437817147,0.10056802421411155,0.7999560750485707,-1.5834554459208763,-0.1509394991995417,1.0413158576300439,0.6977814640588492,1.072419954262605,0.958748701851143,-0.11614195006878682,0.31469955619893225,0.797238229264393,-0.18661753641040016,A14-07151_Ratio.34716.34716.3,0,1,0,0,1
6309,-0.24890116810723978,-1.2512062282420597,-1.2150597319032352,0.14912618347235804,0.34542982261658767,-0.16909426310987155,-0.15817229155705656,-0.2738575880093673,-0.6815025838415412,-0.7151220329221422,0.6299584509118965,-0.37249361684042204,-0.4003109203554628,-0.5297462503106387,-0.19801011624543352,A14-07151_Ratio.17890.17890.2,1,0,0,0,0
9147,0.14108073297505053,0.06506699055649245,0.0243744143095697,-0.1663220066719551,-0.1090964298153953,0.6769359215621166,-0.11998767222581466,-0.7216370821017686,-0.383407091138799,-0.46682929237510373,1.0484530057655383,-0.26462406031599384,-0.44050687253386767,-0.5395930852594738,-0.3274927361491952,A14-07151_Ratio.09339.09339.3,0,1,0,0,0
2537,0.9646017178846847,1.3813402093550446,0.8824442078415118,0.10056802421411155,0.34542982261658767,1.4884836836841295,-0.14845571061523025,1.198638766765155,2.006931612702426,1.5346355466100976,-1.3934067375501225,1.8569125570987897,1.3617291230998574,1.1807576980716363,1.7146954615989491,A14-07151_Ratio.31346.31346.3,0,1,0,0,0
2521,-0.7636026768959839,0.06506699055649245,0.7326224978597439,-0.8860618338997435,-1.0181489346793613,0.8132803654602955,-0.1209429755274729,-0.6863378937034796,-0.0019759470061169607,-0.0027937287731455603,-0.005289136476138013,0.0003325013699504451,-0.002079870518242099,-0.0030894378896448413,0.0011252070135694592,A14-07151_Ratio.24695.24695.2,1,0,0,0,0
11248,-1.1518322682356816,1.3813402093550446,2.6803047276227234,-1.0597921370236922,-1.0181489346793613,-2.1715578274562897,0.06725177489920055,-1.6566196901713974,-0.335564879338744,-0.278834208719655,1.2042232102745591,-0.3206930720594937,-0.6711225993135965,-0.7066225214273731,-0.5898090957181688,A14-07151_Ratio.02913.02913.2,1,0,0,0,0
1603,0.6345253655397819,1.3813402093550446,1.2638085605223746,1.539328298532529,-0.1090964298153953,-0.20402058437076054,-0.15285010580285815,0.5091527247455222,0.1403830111814885,0.3708518242237268,0.640578022642482,-0.36673857073798566,-0.183158706314121,0.060790791548226496,-0.4918824469146633,A14-07151_Ratio.31156.31156.2,1,0,0,0,0
