,Mass,PTMCnt,PTMCntRatio,MassDifferent,PeptideLength,AvgIntensityLog,expect,fval,EucliIntraProtein,ManhattanIntraProtein,PearsonIntraProtein,CosineIntraProtein,EucliIntraProteinPair,ManhattanIntraProteinPair,CosineIntraProteinPair,Name,Charge2,Charge3,Charge4,Charge5,y
3004,2.1328047393043046,3.1968826165961515,1.3199976283177728,4.650399257423544,2.1182562265273397,-1.7020079805999084,-0.08234282773013168,0.5381509451563203,-0.53214051866477,-0.4822084190747647,-0.11190356031977432,-0.01350386543897228,0.34138879949076195,0.3943261826314754,0.4655430372873486,100104_A549_8plex_IPG400_inj1_4_fr_35.09338.09338.3,0,1,0,0,0
4731,0.6823259601393464,0.47414510655186437,0.40577002494591496,0.7983335434453614,-0.02367063371727985,0.28857366349513175,0.5816702118096708,-1.0738993202158362,0.0012160747971834147,0.0008608358018606139,0.001328251942365252,0.0033339291076192505,0.0012978759828464303,0.0014390492579177815,0.002384044611913529,100104_A549_8plex_IPG400_inj1_4_fr_32.06715.06715.4,0,0,1,0,0
9103,-0.19318100458309445,0.47414510655186437,0.5221262653750609,0.7983335434453614,-0.26166250707779315,0.2886509992305987,-0.12295044930828758,0.43847032256598706,-0.8609049376373488,-0.8324384220714593,0.4959419782668775,-0.4104268630823552,-0.5358531489385784,-0.5461304455765803,-0.5086063168578416,100104_A549_8plex_IPG400_inj1_4_fr_33.03387.03387.2,1,0,0,0,0
5497,1.0463276318894774,0.47414510655186437,0.14978629600179408,0.7983335434453614,0.6903049863642601,-0.8585277128729265,-0.12451898404735798,1.209778840384717,-0.2980587889914502,-0.297324158434546,0.352201506922272,-0.32660519799367427,-0.3552756876662322,-0.347372027018614,-0.2135490961600553,100104_A549_8plex_IPG400_inj1_4_fr_34.09554.09554.3,0,1,0,0,0
5048,-0.1294751079072174,1.8355138615740079,1.685688669666516,0.7215673767167963,-0.02367063371727985,-0.5167810491448304,-0.13274995723144875,0.2698090496851814,7.070188954739765,5.466603030074648,-7.300541777648959,6.79768611072384,8.58352640239784,7.716683797127911,6.8354190486479185,100104_A549_8plex_IPG400_inj1_4_fr_33.05872.05872.3,0,1,0,0,1
6471,1.1465490948345836,1.8355138615740079,1.0457293473062164,1.219034148921979,0.9282968597247734,-1.2071946199020982,-0.13288450004150887,1.168895830589817,-1.0268311495451998,-1.0049757089310671,0.5487868909997365,-0.4113642975182443,-0.6176291790951666,-0.6452799312887374,-0.3986835850165397,100104_A549_8plex_IPG400_inj1_4_fr_36.09607.09607.3,0,1,0,0,0
10230,3.79801486097829,0.47414510655186437,-0.36218116188644606,1.8989237474391278,4.26018308677196,-1.0141373496353867,-0.12939886990224367,1.665488625764587,1.0977829106788672,1.2644612244257973,0.5627524956319775,-0.1905585346197307,0.642902500981799,0.9330449180723132,-0.2666066416098714,100104_A549_8plex_IPG400_inj1_4_fr_34.08049.08049.3,0,1,0,0,1
2507,-0.20183652207488223,1.8355138615740079,2.538967766146918,0.31462414879010125,-0.7376462537988198,0.4389861321493998,-0.13143273661390495,-0.8607721169400236,-0.8442918365361999,-0.8227181297813785,0.5336150326268878,-0.41423093888758594,-0.7311149121895948,-0.76416429930623,-0.4572628543752074,100104_A549_8plex_IPG400_inj1_4_fr_35.01407.01407.2,1,0,0,0,0
9318,-0.40638050543734505,3.1968826165961515,4.885485281468021,1.2102294272900285,-0.9756381271593331,-0.6505947761977227,-0.08565417884594696,-1.0464805488865996,-0.6129982423820106,-0.5358217942221021,0.40305130374490494,-0.30426164188335414,-0.39037325076499585,-0.3957286338645363,-0.3044925408949652,100104_A549_8plex_IPG400_inj1_4_fr_33.01586.01586.2,1,0,0,0,0
7047,0.4305412070252994,-0.8872236484702791,-0.8741486197746862,-1.433113095152,0.45231311300374677,0.48067199345958267,-0.1328753702979193,0.7714179337001,1.7456930962503179,2.020315326220226,-0.611665976734967,0.03628168165151571,1.2669715948108462,1.6844460716239458,-0.22339007858337517,100104_A549_8plex_IPG400_inj1_4_fr_32.04329.04329.3,0,1,0,0,1
