,Mass,PTMCnt,PTMCntRatio,MassDifferent,PeptideLength,AvgIntensityLog,expect,fval,EucliIntraProtein,ManhattanIntraProtein,PearsonIntraProtein,CosineIntraProtein,EucliIntraProteinPair,ManhattanIntraProteinPair,CosineIntraProteinPair,Name,Charge2,Charge3,Charge4,Charge5,y
6598,-0.8449650558511008,0.47414510655186437,1.3199976283177728,0.1178936498262154,-1.2136300005198464,-0.4911078242386447,-0.07972860316501434,-1.5713218443716834,-1.0192763122671342,-1.0216960670418307,0.5744061728573187,-0.4386698983312935,-1.1683306187577207,-1.2681544756736347,-0.6525413478304629,100104_A549_8plex_IPG400_inj1_4_fr_35.01806.01806.2,1,0,0,0,0
4918,0.5842064603591461,1.8355138615740079,1.48877810894027,-1.4028468645421714,0.21432123964323346,-1.9135600934658352,-0.13287848993923368,0.5622130856075626,0.14115972677086658,0.25919267212190106,0.3416012582977132,-0.28478020414637406,0.24411464773787875,0.3394369453211675,-0.4754488240766713,100104_A549_8plex_IPG400_inj1_4_fr_33.10112.10112.3,0,1,0,0,0
3071,-1.3178596827061264,-0.8872236484702791,-0.8741486197746862,-1.1406312484406567,-0.9756381271593331,-0.08536407460886093,-0.13139613746999332,-0.5184334823382627,-0.02265513682296165,-0.03458728809766725,0.02964157303581448,-0.17959082846976504,0.010961119008343373,-0.04681608406838471,-0.23538789360420295,100104_A549_8plex_IPG400_inj1_4_fr_36.02339.02339.2,1,0,0,0,0
486,-1.3583168854771115,-0.8872236484702791,-0.8741486197746862,-0.7837648747956778,-0.9756381271593331,-0.11922362902179237,-0.10290806097572136,-1.2149909619526642,-0.8725045673744772,-0.8599628639928818,0.4990680383630727,-0.40325830908305815,-0.9104365411840509,-1.0114915116214058,-0.5851997013773595,100104_A549_8plex_IPG400_inj1_4_fr_36.01380.01380.2,1,0,0,0,0
1457,-0.8833287788063251,-0.8872236484702791,-0.8741486197746862,-0.27831882361154037,-0.9756381271593331,1.3126939980001935,-0.09175403616455408,-1.235507896757485,0.31565456141492576,0.5005585909940028,0.5619858688304364,-0.4420356700865485,0.31090044298246783,0.5148816304718331,-0.25307033896871306,100104_A549_8plex_IPG400_inj1_4_fr_36.05096.05096.2,1,0,0,0,0
9831,-1.0664829499468769,-0.8872236484702791,-0.8741486197746862,0.06754164799350058,-0.9756381271593331,0.7908865488670107,-0.13072341034856977,-0.7064425264596442,0.0012160747971834147,0.0008608358018606139,0.001328251942365252,0.0033339291076192505,0.0012978759828464303,0.0014390492579177815,0.002384044611913529,100104_A549_8plex_IPG400_inj1_4_fr_32.05823.05823.2,1,0,0,0,0
4124,-0.5488183282465321,0.47414510655186437,0.832409573186116,0.7983335434453614,-0.7376462537988198,-0.03840128830794419,0.09368162632110208,-0.3604078263967207,-0.6534235751635821,-0.6218582743608425,0.44506220867311996,-0.36789205515437845,-0.8695184096246347,-0.891766966080091,-0.5695014641870946,100104_A549_8plex_IPG400_inj1_4_fr_34.03366.03366.2,1,0,0,0,0
9324,-0.7084934288001917,0.47414510655186437,1.3199976283177728,0.8385050858911339,-1.2136300005198464,0.566592203113863,-0.12565181469224215,-1.655652480812086,-0.9747090973789099,-0.9221797075289424,0.5678119535927572,-0.42007383054125796,-0.5725854242188381,-0.6176217577162553,-0.3881954767942479,100104_A549_8plex_IPG400_inj1_4_fr_34.05742.05742.2,1,0,0,0,0
8799,0.15816355281915914,-0.8872236484702791,-0.8741486197746862,1.0734810944438034,0.6903049863642601,0.24291829049189156,-0.13246622672531466,2.0652671348291083,0.3450533854122517,0.0012259526568771226,-1.4685751371495166,0.827431324384955,0.2576741937663124,-0.049172585787302416,0.5723049736348276,100104_A549_8plex_IPG400_inj1_4_fr_33.04588.04588.3,0,1,0,0,0
325,-0.4508683230147813,0.47414510655186437,0.5221262653750609,-0.3022566605484049,-0.26166250707779315,0.852299302175956,-0.002173274399866806,-0.045337103309455055,3.1926546006364003,3.591862840255041,-1.8799633210443065,1.081422833506798,10.275161460660243,9.576626580056384,6.479217327978212,100104_A549_8plex_IPG400_inj1_4_fr_35.07066.07066.2,1,0,0,0,0
