,Name,Mass,PTMCnt,PTMCntRatio,MassDifferent,PeptideLength,AvgIntensityLog,expect,fval,EucliIntraProtein,ManhattanIntraProtein,PearsonIntraProtein,CosineIntraProtein,EucliIntraProteinPair,ManhattanIntraProteinPair,CosineIntraProteinPair,Charge2,Charge3,Charge4,Charge5,y
7486,A14-07151_Ratio.08954.08954.2,1281.699192,1,0.125,0.00213,8,12.00831168,0.00164,5.2709,0.200654983,0.413740853,0.73868031,0.003268928,0.306650394,0.586564471,0.012960747,1,0,0,0,0
11264,A14-07151_Ratio.39138.39138.2,1804.0934,1,0.090909091,0.007,11,10.11636475,0.019,8.2343,0.28449332,0.586284111,0.57121643,0.001469697,0.36964241,0.679177032,0.006480032,1,0,0,0,0
10906,A14-07151_Ratio.20056.20056.2,1210.629124,0,0.0,0.007225,8,11.28360162,0.00384,4.52,0.161328761,0.284165566,0.852575608,0.001010841,0.205296381,0.347054812,0.002173058,1,0,0,0,0
12155,A14-07151_Ratio.38630.38630.4,4011.243599,2,0.071428571,0.014645,28,10.73313202,7.21e-08,5.6032,0.173480757,0.360531127,-0.438979439,0.002523349,0.369636669,0.675389356,0.012090592,0,0,1,0,0
1293,A14-07151_Ratio.23511.23511.3,1908.0309,0,0.0,0.004,14,10.28314139,0.018,8.3143,0.771838019,1.243238247,-0.713918219,0.036844523,1.038774684,1.581654698,0.036844523,0,1,0,0,0
1528,A14-07151_Ratio.30427.30427.3,1842.9939,0,0.0,0.005,14,10.72544945,4.0,0.0102,0.661102163,1.049381686,-0.89033259,0.016874579,0.674433598,1.092991234,0.017908886,0,1,0,0,0
10359,A14-07151_Ratio.26339.26339.2,1869.904637,1,0.071428571,0.006503,14,10.93955747,0.000374,5.7934,0.27149394,0.4486802,-0.3182777,0.005176338,0.419883817,0.801946046,0.009630995,1,0,0,0,0
8514,A14-07151_Ratio.18592.18592.2,1566.8723,1,0.111111111,0.006,9,10.89806679,0.016,6.9487,0.124958196,0.230761739,0.694302723,0.001397716,0.161388915,0.288325693,0.00163731,1,0,0,0,0
6715,A14-07151_Ratio.24911.24911.2,1347.693211,1,0.1,0.002504,10,10.85202598,5.68e-08,6.7233,0.260909709,0.39074508,0.071093149,0.005656152,0.487208268,0.793474972,0.022322176,1,0,0,0,0
6394,A14-07151_Ratio.31074.31074.2,1295.803562,1,0.142857143,0.002823,7,10.99205341,1.54e-05,4.8958,0.228001494,0.504556224,-0.67037484,0.003862538,0.225849513,0.499129514,0.003862538,1,0,0,0,0
9015,A14-07151_Ratio.14073.14073.2,1525.937718,1,0.111111111,0.003111,9,11.32483885,0.000137,4.0418,0.107497371,0.18508677,-0.494183025,0.001203979,0.282791857,0.503442705,0.005525215,1,0,0,0,0
6043,A14-07151_Ratio.34189.34189.2,1656.9554,1,0.1,0.006,10,10.12734421,0.0017,7.8277,0.293050457,0.503485406,-0.733209743,0.007232316,0.471029377,0.847336814,0.018195933,1,0,0,0,0
1295,A14-07151_Ratio.29307.29307.2,2251.1349,0,0.0,0.007,21,10.18740976,0.001,10.5131,0.56655684,1.091922318,-0.902866268,0.034991476,0.625198217,1.160459372,0.049793205,1,0,0,0,0
3495,A14-07151_Ratio.10419.10419.2,1520.797093,2,0.25,0.006054,8,12.56164009,0.0714,4.4198,0.438109662,0.780825698,-0.959409796,0.0243087,0.586419072,1.029986207,0.036431678,1,0,0,0,0
1061,A14-07151_Ratio.37094.37094.3,2778.503866,2,0.090909091,0.004705,22,9.329986294,0.156,2.454,0.825206291,1.211689765,0.986381197,0.03401354,0.958122128,1.364700865,0.039501805,0,1,0,0,0
4852,A14-07151_Ratio.09953.09953.2,1556.8495,1,0.090909091,0.004,11,11.41176254,0.0072,7.8366,0.493918064,0.759805012,-0.965343509,0.032748831,0.695435241,1.015106886,0.042355335,1,0,0,0,0
7768,A14-07151_Ratio.08472.08472.2,1465.78989,2,0.25,0.004665,8,11.60115604,0.0295,3.4192,0.207766132,0.402382416,0.794362484,0.003615682,0.308932325,0.615629166,0.007487007,1,0,0,0,0
